"","species_name","classifications"
"1","Abies_cephalonica","Common"
"2","Abies_firma","Common"
"3","Abies_pinsapo","Common"
"4","Abutilon_fraseri","Common"
"5","Acacia_acuminata","Common"
"6","Acacia_aulacocarpa","Common"
"7","Acacia_auriculiformis","Common"
"8","Acacia_baileyana","Common"
"9","Acacia_binervata","Environmentally Rare"
"10","Acacia_brachybotrya","Common"
"11","Acacia_brownii","Adaptable Survivor"
"12","Acacia_colletioides","Common"
"13","Acacia_conferta","Common"
"14","Acacia_crassicarpa","Environmentally Rare"
"15","Acacia_cupularis","Common"
"16","Acacia_dealbata","Common"
"17","Acacia_decora","Common"
"18","Acacia_difficilis","Common"
"19","Acacia_doratoxylon","Common"
"20","Acacia_estrophiolata","Common"
"21","Acacia_falcata","Common"
"22","Acacia_flavescens","Relict"
"23","Acacia_floribunda","Common"
"24","Acacia_hakeoides","High Invasive Potential"
"25","Acacia_havilandiorum","Environmentally Rare"
"26","Acacia_holosericea","Common"
"27","Acacia_implexa","Common"
"28","Acacia_irrorata","Common"
"29","Acacia_latescens","Common"
"30","Acacia_lineata","Common"
"31","Acacia_longifolia","High Invasive Potential"
"32","Acacia_longissima","Common"
"33","Acacia_mangium","Common"
"34","Acacia_melanoxylon","High Invasive Potential"
"35","Acacia_obliquinervia","Common"
"36","Acacia_oxycedrus","Adaptable Survivor"
"37","Acacia_paradoxa","Adaptable Survivor"
"38","Acacia_parvipinnula","Environmentally Rare"
"39","Acacia_penninervis","Common"
"40","Acacia_rigens","Common"
"41","Acacia_saligna","Common"
"42","Acacia_stricta","Adaptable Survivor"
"43","Acacia_suaveolens","Common"
"44","Acacia_terminalis","Adaptable Survivor"
"45","Acacia_trineura","Relict"
"46","Acacia_ulicifolia","Adaptable Survivor"
"47","Acacia_uncinata","Adaptable Survivor"
"48","Acacia_verniciflua","Common"
"49","Acacia_wilhelmiana","Adaptable Survivor"
"50","Acaena_magellanica","Relict"
"51","Acaena_novae-zelandiae","Adaptable Survivor"
"52","Acaena_saccaticupula","Relict"
"53","Acca_sellowiana","Relict"
"54","Acer_davidii","Environmentally Rare"
"55","Acer_granatense","Environmentally Rare"
"56","Acer_monspessulanum","Common"
"57","Acer_sieboldianum","Common"
"58","Acer_tataricum","High Invasive Potential"
"59","Achillea_atrata","Environmentally Rare"
"60","Achillea_collina","Common"
"61","Achillea_erba-rotta","Environmentally Rare"
"62","Achillea_filipendulina","Common"
"63","Achillea_leptophylla","Environmentally Rare"
"64","Achillea_nobilis","Common"
"65","Achillea_ptarmica","Common"
"66","Achnatherum_calamagrostis","Common"
"67","Aciphylla_glacialis","Environmentally Rare"
"68","Aciphylla_hectori","Environmentally Rare"
"69","Aconitum_anthora","Common"
"70","Aconitum_lycoctonum","High Invasive Potential"
"71","Aconitum_variegatum","Common"
"72","Acorus_calamus","Adaptable Survivor"
"73","Actaea_europaea","Relict"
"74","Actinobole_uliginosum","Common"
"75","Actinotus_helianthi","Adaptable Survivor"
"76","Actinotus_minor","Relict"
"77","Adansonia_digitata","High Invasive Potential"
"78","Adenophora_liliifolia","Common"
